Year,LSWI
1999,-0.0063150042991555735
2000,-0.004652418944404664
2001,0.0017384207858479718
2002,-0.004628226368898309
2003,-0.0015024965280991478
2004,-0.020030255233851015
2005,-0.02681281942326167
2006,-0.017048882523733246
2007,-0.01217523954219764
2008,-0.02098673261328851
2009,-0.008303394811018704
2010,-0.003438567308450875
2011,-0.006407441167053423
2012,-0.022024621460826017
2013,-0.004352596157230538
2014,-0.012224311300653665
2015,-0.009270882232403086
2016,-0.022007539652801965
2017,-0.007342924071494664
2018,-0.006329000590102428
2019,0.0004744972426918754
2020,-0.0005246980030225496
2021,-0.015136163630824817
