Year,LSWI
1999,0.0492379538976844
2000,0.053115513169217754
2001,0.04918454194938424
2002,0.048293296951768594
2003,0.0443516934175945
2004,0.03184285082066871
2005,0.00827271510724547
2006,0.02970482145889348
2007,0.062050693510461
2008,0.02205625051577567
2009,0.04133515060941757
2010,0.06698225397884115
2011,0.030776880867251326
2012,0.01517492228170578
2013,0.04834174612157638
2014,0.03376455786332137
2015,0.029783473373886954
2016,0.017046988421868855
2017,0.03174917232992479
2018,0.03777508799045186
2019,0.06680442867574482
2020,0.056126825231966083
2021,0.02702679834813372
