Year,LSWI
1999,0.0770230422131537
2000,0.061158696075782545
2001,0.07079374216899173
2002,0.06492223153715608
2003,0.05703539172189253
2004,0.06338336373146101
2005,0.055138142093231805
2006,0.05753123091861387
2007,0.06297247187882539
2008,0.04539213089380777
2009,0.0501776168042864
2010,0.038087333657756225
2011,0.04260050502306796
2012,0.03658557266804896
2013,0.03774958865547099
2014,0.03378343442635136
2015,0.036613516243921077
2016,0.033710769880138096
2017,0.041666497837524026
2018,0.03449083066341674
2019,0.03759376395477084
2020,0.0355785209662544
2021,0.034747804901677615
