Year,LSWI
1999,0.009087009849044272
2000,0.00527506534343062
2001,0.01915799586900643
2002,0.010313778799090416
2003,0.021037565635240552
2004,0.020459287689259305
2005,0.012202975944980146
2006,0.01653970019205309
2007,0.01315002513367065
2008,0.01695090429742296
2009,0.016079585445116253
2010,0.019013071299663613
2011,0.028876936001960934
2012,0.01804985494879179
2013,0.022612673455028487
2014,0.020405431051541738
2015,0.03226697347325977
2016,0.022459131242531235
2017,0.04011372758392674
2018,0.03218802187118412
2019,0.026370299982723784
2020,0.028327540177084536
2021,0.026426159521592177
