Year,LSWI
1999,0.07247946411371231
2000,0.0566842295229435
2001,0.07174340635538101
2002,0.06510880303695739
2003,0.07723647604386012
2004,0.08935162883725152
2005,0.09071184694766998
2006,0.10334277898073198
2007,0.07939308136701584
2008,0.09579967829718519
2009,0.1008593837039737
2010,0.08625745239291104
2011,0.11095176119391525
2012,0.09042875158839522
2013,0.06197869638123461
2014,0.0960986614227295
2015,0.07563979923725128
2016,0.07493930805726831
2017,0.07348350435495377
2018,0.06777974963188171
2019,0.058195858988740023
2020,0.06500828119073221
2021,0.05109216272830963
