fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,NOMBRE_HUM,COD_IHA,USOShum_ha,HUM_ha,BUF_ha
441883,931,"PLAYAS, DUNAS Y ARENALES",10465.629897400000118,379932.030530915013514,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,379932.031,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Rambla Morales,IHA611003,59.849967,1.283545000,58.566422
365914,915,MATORRAL DISPERSO CON PASTIZAL,1596.756012800000008,121063.332796711474657,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,121063.333,Vegetacion natural,Cobertura vegetal y suelos,5,1,Rambla Morales,IHA611003,79.665517,0.286135000,79.379382
32439,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,4678.578275290000420,179166.538312482880428,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,179166.538,Vegetacion riparia,Zonas humedas,3,1,Rambla Morales,IHA611003,17.916654,9.620773000,8.295881
2782,115,URBANIZACIONES RESIDENCIALES,1136.036688969999886,8098.421966316178441,8,URBANIZACIONES,"2002",Discontinuo,1,8098.422,Tejido urbano,Urbano e infraestructuras,1,5,Salinas de Cabo de Gata,IHA611009,4.244170,0.000000000,4.244170
27471,221,SALINAS TRADICIONALES,840.007388173999971,23840.975209700292908,39,SALINAS,"221",Salinas tradicionales,8,23840.975,Salinas,Zonas humedas,3,1,Salinas de Cabo de Gata,IHA611009,253.485249,208.075004000,45.410245
340,111,TEJIDO URBANO,1305.463035929999933,30318.185881122946739,13,ZONAS INDUSTRIALES Y COMERCIALES,"125",Complejo comercial y/o de ocio,2,30318.186,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Salinas de Cabo de Gata,IHA611009,6.843431,0.000000000,6.843431
24240,155,ZONAS EN CONSTRUCCION,4615.914449089999835,180016.777032902260544,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,180016.777,Zonas en construccion,Urbano e infraestructuras,1,4,Salinas de Cabo de Gata,IHA611009,18.001678,0.000000000,18.001678
441887,931,"PLAYAS, DUNAS Y ARENALES",45766.064142900002480,690602.282841924577951,79,"PLAYAS, DUNAS Y ARENALES","9312",Dunas y arenales costeros,22,690602.283,"Playas, dunas y arenales",Cobertura vegetal y suelos,5,1,Salinas de Cabo de Gata,IHA611009,47.203465,4.323383000,42.880082
400315,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,22901.584828800001560,2428800.495870334096253,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,2428800.496,Vegetacion natural,Cobertura vegetal y suelos,5,1,Salinas de Cabo de Gata,IHA611009,423.666614,186.688426000,236.978188
118203,425,OTROS CULTIVOS HERBACEOS REGADOS,51163.799517100000230,1586219.561011064564809,86,OTROS CULTIVOS HERBACEOS REGADOS,NA,OTROS CULTIVOS HERBACEOS REGADOS,18,1586219.561,Cultivos herbaceos,Agrario,4,3,Salinas de Cabo de Gata,IHA611009,148.254556,1.078465000,147.176091
134119,441,CULTIVOS HERBACEOS Y LEÃ‘OSOS EN SECANO,3677.068277809999927,1953.707286849617958,88,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,NA,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,19,1953.707,Areas agrarias heterogeneas,Agrario,4,3,Salinas de Cabo de Gata,IHA611009,14.795320,0.202745000,14.592575
6115,117,URBANIZACIONES AGRICOLA / RESIDENCIALES,2527.969652889999907,137615.271654102951288,9,URBANIZACIONES AGRICOLA / RESIDENCIALES,"117",Agricola residencial,1,137615.272,Tejido urbano,Urbano e infraestructuras,1,5,Canada de las Norias,IHA611005,15.559714,0.000000000,15.559714
116192,423,CULTIVOS FORZADOS BAJO PLASTICO,478017.638985999976285,7792199.801621209830046,56,CULTIVOS FORZADOS BAJO PLASTICO,"404",Invernadero de estructura itinerante o temporal,17,7792199.802,Invernaderos,Agrario invernaderos,2,5,Canada de las Norias,IHA611005,282.555659,10.006968000,272.548691
144808,451,CULTIVOS HERBACEOS Y LEÃ‘OSOS REGADOS,468.255189250999990,9991.929582715034485,89,CULTIVOS HERBACEOS Y LEÑOSOS REGADOS,NA,CULTIVOS HERBACEOS Y LEÑOSOS REGADOS,19,9991.930,Areas agrarias heterogeneas,Agrario,4,3,Canada de las Norias,IHA611005,60.674684,3.361946000,57.312738
297,111,TEJIDO URBANO,1329.433383139999933,53639.783541521988809,13,ZONAS INDUSTRIALES Y COMERCIALES,"125",Complejo comercial y/o de ocio,2,53639.784,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Canada de las Norias,IHA611005,38.849629,1.126939000,37.722690
24205,155,ZONAS EN CONSTRUCCION,2259.799180559999968,91010.754284444294171,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,91010.754,Zonas en construccion,Urbano e infraestructuras,1,4,Canada de las Norias,IHA611005,9.101075,0.000000000,9.101075
45867,411,CULTIVOS HERBACEOS EN SECANO,915.000044007000042,39606.536239695502445,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,39606.536,Cultivos herbaceos,Agrario,4,3,Canada de las Norias,IHA611005,165.011085,123.284160000,41.726925
341888,911,MATORRAL DENSO,590.097865703000025,104.548776753246784,72,MATORRAL DENSO,"911",Matorral denso,20,104.549,Vegetacion natural,Cobertura vegetal y suelos,5,1,Canada de las Norias,IHA611005,22.973942,0.000000000,22.973942
282180,725,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,51379.259538999998767,573915.945733890170231,65,MATORRAL DISP. ARBOLADO: CONIFERAS. DISPERSO,"725",Matorral disperso arbolado: coniferas. disperso,20,573915.946,Vegetacion natural,Cobertura vegetal y suelos,5,1,Saladar del Margen,IHA614009,549.302409,67.735159000,481.567250
152508,471,CULTIVOS HERBACEOS Y PASTIZALES,1207.275789239999995,38431.890562202781439,91,CULTIVOS HERBACEOS Y PASTIZALES,NA,CULTIVOS HERBACEOS Y PASTIZALES,19,38431.891,Areas agrarias heterogeneas,Agrario,4,3,Saladar del Margen,IHA614009,21.611696,2.229458000,19.382238
66546,411,CULTIVOS HERBACEOS EN SECANO,877.510762390999957,6866.240797751583159,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,6866.241,Cultivos herbaceos,Agrario,4,3,Saladar del Margen,IHA614009,148.520762,1.627907000,146.892855
140680,441,CULTIVOS HERBACEOS Y LEÃ‘OSOS EN SECANO,940.553634652000028,40.940308956429362,88,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,NA,CULTIVOS HERBACEOS Y LEÑOSOS EN SECANO,19,40.940,Areas agrarias heterogeneas,Agrario,4,3,Cola del Embalse del Negrati­n,IHA614010,327.112800,143.768016000,183.344784
92870,415,CULTIVOS LEÃ‘OSOS EN SECANO: OLIVAR,590.121293757999979,14052.276877306399911,53,OLIVAR EN SECANO,"416",Olivar,14,14052.277,Leñoso secano,Agrario,4,3,Cola del Embalse del Negrati­n,IHA614010,27.002163,6.527977000,20.474186
65737,411,CULTIVOS HERBACEOS EN SECANO,814.132984280999949,16949.470823284238577,85,CULTIVOS HERBACEOS EN SECANO,NA,CULTIVOS HERBACEOS EN SECANO,18,16949.471,Cultivos herbaceos,Agrario,4,3,Cola del Embalse del Negrati­n,IHA614010,107.179161,52.470073000,54.709088
130878,433,CULTIVOS LEÃ‘OSOS REGADOS: OLIVOS,1773.590249220000032,14729.638560745865107,59,OLIVOS EN REGADiO,"4102",Mosaico de cultivos leñosos,15,14729.639,Leñoso regadio,Agrario,4,3,Cola del Embalse del Negrati­n,IHA614010,41.128269,1.582868000,39.545401
189782,520,FOR. ARBOL. DENSA: CONIFERAS,6744.378474729999652,5.287499404512346,60,FOR. ARBOL. DENSA: CONIFERAS,"520",Formacion arbolada: coniferas,20,5.287,Vegetacion natural,Cobertura vegetal y suelos,5,1,Cola del Embalse del Negrati­n,IHA614010,324.755379,7.514688000,317.240691
3635,115,URBANIZACIONES RESIDENCIALES,270.497039001000019,4232.746713744476438,8,URBANIZACIONES,"2002",Discontinuo,1,4232.747,Tejido urbano,Urbano e infraestructuras,1,5,Cola del Embalse del Negrati­n,IHA614010,2.215483,0.000000000,2.215483
30252,315,RIOS Y CAUCES NAT.:BOSQUE GALERIA,802.479143864999969,13143.587328631430864,45,VEGETACION RIPARIA,"315",Rios y cauces naturales: bosque galeria,11,13143.587,Vegetacion riparia,Zonas humedas,3,1,Cola del Embalse del Negrati­n,IHA614010,18.005324,9.239341000,8.765983
25476,155,ZONAS EN CONSTRUCCION,1038.545882740000025,36569.440626710653305,83,ZONAS EN CONSTRUCCION,NA,Zonas en construccion,24,36569.441,Zonas en construccion,Urbano e infraestructuras,1,4,Cola del Embalse del Negrati­n,IHA614010,3.656944,0.000000000,3.656944
117882,425,OTROS CULTIVOS HERBACEOS REGADOS,686.051893969000048,17680.809812391584273,86,OTROS CULTIVOS HERBACEOS REGADOS,NA,OTROS CULTIVOS HERBACEOS REGADOS,18,17680.810,Cultivos herbaceos,Agrario,4,3,Ribera de la Algaida,IHA611010,96.585849,17.110282000,79.475567
116128,423,CULTIVOS FORZADOS BAJO PLASTICO,2021.324366959999907,104458.084860389513779,56,CULTIVOS FORZADOS BAJO PLASTICO,"404",Invernadero de estructura itinerante o temporal,17,104458.085,Invernaderos,Agrario invernaderos,2,5,Ribera de la Algaida,IHA611010,10.445808,0.000000000,10.445808
17490,121,ZONAS INDUSTRIALES Y COMERCIALES,1122.526398409999956,21899.308203414082527,14,ZONAS INDUSTRIALES Y COMERCIALES,"168",Industria aislada,2,21899.308,Zonas industriales y comerciales,Urbano e infraestructuras,1,5,Ribera de la Algaida,IHA611010,8.176698,0.000000000,8.176698
342172,911,MATORRAL DENSO,2861.160466939999878,279150.160354077816010,72,MATORRAL DENSO,"911",Matorral denso,20,279150.160,Vegetacion natural,Cobertura vegetal y suelos,5,1,Ribera de la Algaida,IHA611010,64.455417,46.344600000,18.110817
2772,115,URBANIZACIONES RESIDENCIALES,215.075480768000006,2937.955724600702524,8,URBANIZACIONES,"2002",Discontinuo,1,2937.956,Tejido urbano,Urbano e infraestructuras,1,5,Ribera de la Algaida,IHA611010,2.660413,0.000000000,2.660413
27507,225,SALINAS INDUST. Y PARQUES DE CULTIVOS,3214.137577550000060,307928.590906276367605,38,SALINAS,"203",Salinas industriales,8,307928.591,Salinas,Zonas humedas,3,1,Ribera de la Algaida,IHA611010,30.792859,0.501525000,30.291334
