Year,LSWI
1999,0.0499000286264651
2000,0.051729601141820666
2001,0.03923344095137898
2002,0.048210139089969344
2003,0.04742410416850883
2004,0.03453264181490808
2005,0.03657646032461384
2006,0.06532682500121191
2007,0.11417613311740882
2008,0.07525934580656486
2009,0.06548924141671561
2010,0.04168521198824365
2011,0.05518848331066352
2012,0.04194432382899876
2013,0.043606434378860644
2014,0.03599023608420419
2015,0.03608210506938635
2016,0.04207133443191716
2017,0.08301817360123726
2018,0.11228310549098189
2019,0.06943931150099178
2020,0.11432895983936567
2021,0.10636841162976043
