"NOMBRE_HUM"	"MUCVA_C_ES"	"MUCVA_T_ES"	"SIOSE_C_ES"	"SIOSE_T_ES"	"n"
"65"	"Charcones de Punta Entinas"	"7"	"Marisma"	"22"	"Playas, dunas y arenales"	1
"66"	"Charcones de Punta Entinas"	"9"	"Mares y oceanos"	"9"	"Mares y oceanos"	13
"67"	"Charcones de Punta Entinas"	"9"	"Mares y oceanos"	"22"	"Playas, dunas y arenales"	6
"68"	"Charcones de Punta Entinas"	"12"	"Lagos y lagunas"	"12"	"Lagos y lagunas"	31
"69"	"Charcones de Punta Entinas"	"17"	"Invernaderos"	"2"	"Zonas industriales y comerciales"	1
"70"	"Charcones de Punta Entinas"	"17"	"Invernaderos"	"3"	"Infraestructuras de comunicaciones"	1
"71"	"Charcones de Punta Entinas"	"17"	"Invernaderos"	"17"	"Invernaderos"	24
"72"	"Charcones de Punta Entinas"	"17"	"Invernaderos"	"20"	"Vegetacion natural"	1
"73"	"Charcones de Punta Entinas"	"17"	"Invernaderos"	"22"	"Playas, dunas y arenales"	1
"74"	"Charcones de Punta Entinas"	"18"	"Cultivos herbaceos"	"11"	"Vegetacion riparia"	1
"75"	"Charcones de Punta Entinas"	"18"	"Cultivos herbaceos"	"22"	"Playas, dunas y arenales"	1
"76"	"Charcones de Punta Entinas"	"19"	"Areas agrarias heterogeneas"	"11"	"Vegetacion riparia"	1
"77"	"Charcones de Punta Entinas"	"19"	"Areas agrarias heterogeneas"	"20"	"Vegetacion natural"	4
"78"	"Charcones de Punta Entinas"	"19"	"Areas agrarias heterogeneas"	"23"	"Areas con fuertes procesos erosivos"	2
"79"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"7"	"Marisma"	6
"80"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"11"	"Vegetacion riparia"	9
"81"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"12"	"Lagos y lagunas"	2
"82"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"17"	"Invernaderos"	2
"83"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"20"	"Vegetacion natural"	14
"84"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"22"	"Playas, dunas y arenales"	63
"85"	"Charcones de Punta Entinas"	"20"	"Vegetacion natural"	"23"	"Areas con fuertes procesos erosivos"	3
"86"	"Charcones de Punta Entinas"	"22"	"Playas, dunas y arenales"	"9"	"Mares y oceanos"	1
"87"	"Charcones de Punta Entinas"	"22"	"Playas, dunas y arenales"	"22"	"Playas, dunas y arenales"	8
"88"	"Charcones de Punta Entinas"	"23"	"Areas con fuertes procesos erosivos"	"5"	"Zonas mineras, escombreras o de vertido"	1
"89"	"Charcones de Punta Entinas"	"23"	"Areas con fuertes procesos erosivos"	"20"	"Vegetacion natural"	1
"90"	"Charcones de Punta Entinas"	"23"	"Areas con fuertes procesos erosivos"	"23"	"Areas con fuertes procesos erosivos"	1
"91"	"Cola del Embalse del NegratiÃ‚Â­n"	"1"	"Tejido urbano"	"13"	"Masas de agua artificial"	1
"92"	"Cola del Embalse del NegratiÃ‚Â­n"	"11"	"Vegetacion riparia"	"11"	"Vegetacion riparia"	5
"93"	"Cola del Embalse del NegratiÃ‚Â­n"	"11"	"Vegetacion riparia"	"13"	"Masas de agua artificial"	2
"94"	"Cola del Embalse del NegratiÃ‚Â­n"	"14"	"Lenoso secano"	"13"	"Masas de agua artificial"	2
"95"	"Cola del Embalse del NegratiÃ‚Â­n"	"14"	"Lenoso secano"	"14"	"Lenoso secano"	2
"96"	"Cola del Embalse del NegratiÃ‚Â­n"	"14"	"Lenoso secano"	"20"	"Vegetacion natural"	1
"97"	"Cola del Embalse del NegratiÃ‚Â­n"	"15"	"Lenoso regadio"	"14"	"Lenoso secano"	9
"98"	"Cola del Embalse del NegratiÃ‚Â­n"	"18"	"Cultivos herbaceos"	"11"	"Vegetacion riparia"	6
"99"	"Cola del Embalse del NegratiÃ‚Â­n"	"18"	"Cultivos herbaceos"	"13"	"Masas de agua artificial"	7
"100"	"Cola del Embalse del NegratiÃ‚Â­n"	"18"	"Cultivos herbaceos"	"14"	"Lenoso secano"	3
"101"	"Cola del Embalse del NegratiÃ‚Â­n"	"18"	"Cultivos herbaceos"	"15"	"Lenoso regadio"	1
"102"	"Cola del Embalse del NegratiÃ‚Â­n"	"18"	"Cultivos herbaceos"	"18"	"Cultivos herbaceos"	4
"103"	"Cola del Embalse del NegratiÃ‚Â­n"	"18"	"Cultivos herbaceos"	"20"	"Vegetacion natural"	5
