Year,NDWI
1999,-0.05562098930459722
2000,-0.059821323367952414
2001,-0.05587925831266624
2002,-0.05712275439851397
2003,-0.05758671591294527
2004,-0.05975281814390415
2005,-0.06147497712261059
2006,-0.06154575004734745
2007,-0.05766794996965557
2008,-0.05776651989581821
2009,-0.04996774003522221
2010,-0.051784342006851954
2011,-0.06147323869150638
2012,-0.061552356747609116
2013,-0.0634760514542011
2014,-0.06355897041645446
2015,-0.06167591204649484
2016,-0.06160695818164068
2017,-0.05761818673510501
2018,-0.06350841648969362
2019,-0.055623727814110416
2020,-0.05964557857723861
2021,-0.06350632368883984
