Year,NDWI
1999,-0.06936273037429544
2000,-0.07310865358698655
2001,-0.07132403210069176
2002,-0.06541324607024065
2003,-0.08103079814855126
2004,-0.079077302386796
2005,-0.08100324685619013
2006,-0.08103098008336405
2007,-0.07126844833507646
2008,-0.07322195555926368
2009,-0.07718557887155103
2010,-0.07914855737537072
2011,-0.07520111925021446
2012,-0.0713122802390182
2013,-0.07516697784477033
2014,-0.08099592813710726
2015,-0.07512320524262311
2016,-0.07910286349375467
2017,-0.07317252629612635
2018,-0.07519210251149563
2019,-0.07523432607467452
2020,-0.07332934344543789
2021,-0.06931512801736082
