Year,NDWI
1999,-0.07662918461139337
2000,-0.08046862880514964
2001,-0.08882581109047863
2002,-0.0863704316671893
2003,-0.0987056252892265
2004,-0.10059426539682667
2005,-0.1005684846770928
2006,-0.09864199584306489
2007,-0.09087384413129974
2008,-0.09860818587907054
2009,-0.09280328430251157
2010,-0.10446771397915654
2011,-0.10441807933608534
2012,-0.09272060160545212
2013,-0.08299365554464133
2014,-0.08501869745568312
2015,-0.0927809135894285
2016,-0.07915668717850574
2017,-0.09664654830733439
2018,-0.09863304770049344
2019,-0.089012690431247
2020,-0.08689633266546959
2021,-0.08896375064012241
