Year,NDWI
1999,-0.10883918933192661
2000,-0.13184307928308073
2001,-0.1059767394326349
2002,-0.10791250173062428
2003,-0.09066459250078934
2004,-0.12415419329870124
2005,-0.1027111236667333
2006,-0.11416792216390645
2007,-0.13368530956678434
2008,-0.11230551228022988
2009,-0.1356961162885154
2010,-0.14934041252809255
2011,-0.1058706088278933
2012,-0.11425575227368487
2013,-0.12804877038314866
2014,-0.12796737824562832
2015,-0.11618798376867286
2016,-0.10247965699244296
2017,-0.10446350924953877
2018,-0.10881734059565135
2019,-0.12594087121427708
2020,-0.12209881458775482
2021,-0.1142676203208592
