Year,NDWI
1999,-0.09713147769893658
2000,-0.09713759228308362
2001,-0.0974170017484766
2002,-0.0881489885121698
2003,-0.09103899295812762
2004,-0.10497686691576744
2005,-0.10011872119873105
2006,-0.09716382788671078
2007,-0.11672353454553284
2008,-0.09446797247760959
2009,-0.10985142796314305
2010,-0.1205971251463805
2011,-0.1030207665164069
2012,-0.09740070599712235
2013,-0.11476915885924246
2014,-0.10375260607019401
2015,-0.09302609880941773
2016,-0.09226638304237819
2017,-0.10797647206399083
2018,-0.10786920975312551
2019,-0.11496736992585477
2020,-0.11672352663404548
2021,-0.1040088188821686
