Year,NDWI
1999,-0.11235188112880896
2000,-0.1200724816544405
2001,-0.11816555486462978
2002,-0.11236934961267758
2003,-0.1199657899259766
2004,-0.14557666295172764
2005,-0.1473900079703489
2006,-0.13176427395742102
2007,-0.1399359490404738
2008,-0.15139974722676855
2009,-0.13969163147225686
2010,-0.14548573382557475
2011,-0.14153370801176912
2012,-0.15341096215079444
2013,-0.12996567988873167
2014,-0.1418355330038718
2015,-0.13580463252521074
2016,-0.1298553602658974
2017,-0.14148636091568328
2018,-0.12989947139034577
2019,-0.13572504614962616
2020,-0.12996879873766648
2021,-0.12981969923941133
