Year,NDWI
1999,-0.1030243103769725
2000,-0.10789840360387343
2001,-0.10008829149915958
2002,-0.09327809849232016
2003,-0.09715251945212226
2004,-0.10890273254344643
2005,-0.0981536082652944
2006,-0.09865436281028069
2007,-0.12060364876840426
2008,-0.09864092574402632
2009,-0.11052072854435584
2010,-0.1239937193114519
2011,-0.10445487247576482
2012,-0.09811446511210842
2013,-0.11668727712504287
2014,-0.10497455947565491
2015,-0.09616799839455284
2016,-0.09130513929243482
2017,-0.1040132538359564
2018,-0.10591911702850086
2019,-0.11477451469956003
2020,-0.11767116992299434
2021,-0.10403641367426661
