Year,NDWI
1999,-0.11624566243855507
2000,-0.12402189643748861
2001,-0.12800734793557034
2002,-0.11647871174380466
2003,-0.12184579423846661
2004,-0.14374000170074785
2005,-0.13773898683535912
2006,-0.1281458810479765
2007,-0.13372315607448218
2008,-0.13579969873033898
2009,-0.13975588851497833
2010,-0.1416997682375977
2011,-0.13772565758821334
2012,-0.15180500872736535
2013,-0.12593562141591844
2014,-0.1352187007643761
2015,-0.133345748901066
2016,-0.1303352457155583
2017,-0.1441475898641171
2018,-0.12992576220656063
2019,-0.13421331053662947
2020,-0.1278184694940406
2021,-0.12981515894016113
