Year,NDWI
1999,-0.09287538075217527
2000,-0.09077302964705913
2001,-0.0965396926672313
2002,-0.0907992058939713
2003,-0.10069680402135456
2004,-0.10846283359379694
2005,-0.10444773790242086
2006,-0.10453338722185074
2007,-0.09859706830450338
2008,-0.10839930719425077
2009,-0.10055019336894172
2010,-0.10257872608603515
2011,-0.11916911694582374
2012,-0.1045266585405687
2013,-0.09678669858091815
2014,-0.09676075576157053
2015,-0.09866759260363535
2016,-0.09458777077898677
2017,-0.11034359689892413
2018,-0.10245783664701479
2019,-0.08696289799875537
2020,-0.09860303711661465
2021,-0.09267417189204259
