Year,NDWI
1999,-0.09279597413945286
2000,-0.09088397415720363
2001,-0.09249868241871896
2002,-0.08681390965908556
2003,-0.08676531500663563
2004,-0.10047144524228405
2005,-0.09482240617448297
2006,-0.09861529258705674
2007,-0.09865005730269434
2008,-0.10452524102651156
2009,-0.10041119158267975
2010,-0.11606967519024279
2011,-0.10869994127434784
2012,-0.10257039121183244
2013,-0.11019896577354991
2014,-0.1064866661275941
2015,-0.1063250784783479
2016,-0.11247853937016547
2017,-0.10848205099968859
2018,-0.10640724970121397
2019,-0.10632938001765929
2020,-0.1044541424391359
2021,-0.10071978881168818
