Year,NDWI
1999,-0.1434281802858151
2000,-0.14550210756576065
2001,-0.15135501210103955
2002,-0.1440145020595964
2003,-0.14550800720819976
2004,-0.17305160537616382
2005,-0.1824486402201306
2006,-0.1807418101508494
2007,-0.19635399069096374
2008,-0.18656646712769448
2009,-0.184535678917451
2010,-0.20218471007648506
2011,-0.18834512970429515
2012,-0.1845168321974034
2013,-0.1395162400920145
2014,-0.17256592569297396
2015,-0.16112904247329451
2016,-0.17060520292311396
2017,-0.19839601131915457
2018,-0.18422413723809375
2019,-0.186595148423152
2020,-0.1962014112312246
2021,-0.18674059428306083
