Year,NDWI
1999,-0.018627037631214052
2000,-0.020278018278380234
2001,-0.024494225004067022
2002,-0.018591032527825412
2003,-0.022442427084176285
2004,-0.06547113970034849
2005,-0.030482079626785383
2006,-0.030341509839191157
2007,-0.04386491168709811
2008,-0.01645655547221116
2009,-0.0399813498072439
2010,-0.039859995015120164
2011,-0.008580122379295773
2012,-0.038304751926506606
2013,-0.05564849695238979
2014,-0.0323126203547455
2015,-0.030233914680954387
2016,-0.034281543582860674
2017,-0.02649875248771708
2018,-0.018587919023747627
2019,-0.012797068586464268
2020,-0.030131202284246685
2021,-0.04014463838577471
