Year,NDWI
1999,-0.11342725814098403
2000,-0.11453262875342315
2001,-0.10931187316876007
2002,-0.0955393810334538
2003,-0.09461392016244045
2004,-0.11686759503161323
2005,-0.11649069648662043
2006,-0.11801740300333798
2007,-0.13420861786608446
2008,-0.10318490758787986
2009,-0.12370633875978165
2010,-0.14501639567429733
2011,-0.10854493506817821
2012,-0.10822464047552467
2013,-0.12173751807613738
2014,-0.11780171497757065
2015,-0.10372784683342583
2016,-0.10858839768192374
2017,-0.12184154932927091
2018,-0.11559387929601109
2019,-0.12455388603411315
2020,-0.13021761873904766
2021,-0.11286697893926544
