Year,NDWI
1999,-0.11147034581865152
2000,-0.1036773003952604
2001,-0.10968156903982162
2002,-0.09896909736493635
2003,-0.10439246892929077
2004,-0.12340996414422989
2005,-0.11026003956794739
2006,-0.11640795257309793
2007,-0.10815908613466928
2008,-0.1145918309688568
2009,-0.10442126542329788
2010,-0.1290227508088022
2011,-0.11317872942859594
2012,-0.10338034863911805
2013,-0.10522683709859848
2014,-0.1078241635646139
2015,-0.10624852552014162
2016,-0.11432386121588492
2017,-0.11215299367904663
2018,-0.11173746734857559
2019,-0.1071692556142807
2020,-0.10431123196437793
2021,-0.10493692755699158
