Year,NDWI
1999,-0.14205381943605333
2000,-0.15587804124704713
2001,-0.1276928722858429
2002,-0.12355670212677115
2003,-0.09688349546363885
2004,-0.1450008961577802
2005,-0.13125741545632874
2006,-0.14693674671454965
2007,-0.15079090228627268
2008,-0.1304702407607064
2009,-0.14410478407545554
2010,-0.18065685672857354
2011,-0.11475456783826622
2012,-0.1352495822687805
2013,-0.15573416325600695
2014,-0.15085974306989322
2015,-0.13609578600844857
2016,-0.1360905618303133
2017,-0.13516862666112692
2018,-0.13725443925413727
2019,-0.15946190286026857
2020,-0.15954167865269414
2021,-0.1450147610795778
