Year,NDWI
1999,-0.05618804506957531
2000,-0.07081514249659679
2001,-0.06617104739089992
2002,-0.0718453601002693
2003,-0.08844644515590522
2004,-0.10044205188751221
2005,-0.09510015235117776
2006,-0.14404922320481833
2007,-0.11570110574827988
2008,-0.1373249916853416
2009,-0.11425112839077266
2010,-0.08830021508038044
2011,-0.14022888721788632
2012,-0.09730992462605037
2013,-0.08670161935623269
2014,-0.12441163100478775
2015,-0.08347650617361069
2016,-0.09038345473482436
2017,-0.09933744831975047
2018,-0.09525205518622869
2019,-0.10398465394973755
2020,-0.08645416936262057
2021,-0.07769516855478287
