Year,NDWI
1999,-0.0753168726704552
2000,-0.06913028868409153
2001,-0.05562138393607701
2002,-0.053727367859043786
2003,-0.0322674874054349
2004,-0.053696137977871136
2005,-0.03825858975219172
2006,-0.06941680005353998
2007,-0.0732876999104667
2008,-0.06539354785831791
2009,-0.043945132013600514
2010,0.0049381478940292
2011,-0.01088555580975835
2012,-0.020454973332862024
2013,-0.020548190729616028
2014,-0.010803383594829984
2015,-0.00878535905504237
2016,-0.018406024661909673
2017,-0.002955532779295943
2018,0.012748567021522179
2019,-0.0088349926379711
2020,-0.016713696449251865
2021,-0.01477995453918624
