Year,NDWI
1999,-0.08093521233183296
2000,-0.08298216012321555
2001,-0.07917689524350188
2002,-0.07326767009413573
2003,-0.0849423370967481
2004,-0.08110633816618174
2005,-0.07712327897580117
2006,-0.07913665697687385
2007,-0.07330561998231276
2008,-0.0790924249372747
2009,-0.08691398505484686
2010,-0.08696818031989714
2011,-0.08699756369437157
2012,-0.06936398917924058
2013,-0.07912270015225956
2014,-0.08701195120450554
2015,-0.07513244605882283
2016,-0.08107480582020829
2017,-0.07122146622615928
2018,-0.07330138355405227
2019,-0.07130734425568289
2020,-0.06739211254005102
2021,-0.07513141363611152
