Year,NDWI
1999,0.03184554260224104
2000,0.03548735504349073
2001,0.027822431590822008
2002,0.022977428182083016
2003,0.03624667692929506
2004,0.03587604438265165
2005,0.02708790476123492
2006,0.023851055651903152
2007,0.02884765639901161
2008,0.03185811142126719
2009,0.03540179878473282
2010,0.030270371958613394
2011,0.01609997477914606
2012,0.02110899363954862
2013,0.037484398377793174
2014,0.043588447384536266
2015,0.038621601027747
2016,0.05608445291335766
2017,0.030847719973988004
2018,0.04151863045990467
2019,0.02977881357073784
2020,0.02206345330923796
2021,0.025083167385309933
