Year,NDWI
1999,-0.13061274837005146
2000,-0.14082351365311171
2001,-0.12904097402410886
2002,-0.11934472627209541
2003,-0.12425169724031948
2004,-0.14104528473487657
2005,-0.11871324230120993
2006,-0.11666622984802343
2007,-0.14706008568006532
2008,-0.11298624452612316
2009,-0.13244078517151137
2010,-0.16065398424690402
2011,-0.12145792054933505
2012,-0.12231572319852245
2013,-0.14730009705942226
2014,-0.1343229565401492
2015,-0.11687639457678099
2016,-0.11209074915182728
2017,-0.12962392281334928
2018,-0.11941621250564784
2019,-0.13753766218498972
2020,-0.14127423489695465
2021,-0.11889154393048514
