Year,NDWI
1999,-0.12834587951977094
2000,-0.11956355166707194
2001,-0.13221177831292152
2002,-0.1146414083062832
2003,-0.12846243754029274
2004,-0.0991876373102278
2005,-0.11355913792200795
2006,-0.1246335502983553
2007,-0.11178379657575205
2008,-0.11761460391183694
2009,-0.11183301487152145
2010,-0.13850334882736207
2011,-0.1312347548052589
2012,-0.1233841449022293
2013,-0.12659337123235068
2014,-0.12163688784295862
2015,-0.12270254145065944
2016,-0.13035855035705976
2017,-0.12939218572668126
2018,-0.12843627418508594
2019,-0.12447953396118604
2020,-0.125350334662374
2021,-0.12063292414885382
