Year,LSWI
1999,0.006885509314069026
2000,-0.0010128480944944303
2001,0.028850102653900405
2002,0.028468413755840256
2003,0.02976971860028121
2004,-0.008821793970879906
2005,-0.00498292362353772
2006,-0.004927196723406298
2007,0.0009970947384988823
2008,-0.014675446169223389
2009,0.00683087930504154
2010,0.004879171119350757
2011,0.030764209282953214
2012,-0.010784906266561601
2013,0.01265326290506879
2014,0.0029174412833304453
2015,0.0009787157771264945
2016,-0.01071956414065937
2017,0.010789244207302068
2018,0.010746767864807738
2019,0.008754711926723623
2020,0.022408278547491667
2021,0.010682060222076791
