fid,COD_USO,DES_USO,Shape_Leng,Shape_Area,_N,_SIOSE,_COD_SIOSE,_Usos MUCV,_COD_NUEVO,AREA_POLIG,USOS_DEFIN,USOS_GENER,COD_GENERA,COD_PRESIO,areaNAT_m2
383372,915,MATORRAL DISPERSO CON PASTIZAL,955.505617509999979,28835.105826367798727,73,MATORRAL DISPERSO CON PASTIZAL,"915",Matorral disperso con pastizal,20,28835.106,Vegetacion natural,Cobertura vegetal y suelos,5,1,28835.106
408930,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,20056.772456599999714,412004.267280448984820,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,412004.267,Vegetacion natural,Cobertura vegetal y suelos,5,1,412004.267
408979,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,70021.842636500005028,241562.133851392980432,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,241562.134,Vegetacion natural,Cobertura vegetal y suelos,5,1,241562.134
408981,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,9602.469823769999493,529215.095125570660457,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,529215.095,Vegetacion natural,Cobertura vegetal y suelos,5,1,529215.095
409017,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,860.257589299999950,21365.044227927923203,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,21365.044,Vegetacion natural,Cobertura vegetal y suelos,5,1,21365.044
409413,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,77155.299792200006777,1698529.140088734682649,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,1698529.140,Vegetacion natural,Cobertura vegetal y suelos,5,1,1698529.140
409435,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,35557.126443799999834,481352.513929938315414,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,481352.514,Vegetacion natural,Cobertura vegetal y suelos,5,1,481352.514
409524,917,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,100922.253408000004129,540982.948376353597268,74,MATORRAL DISPERSO CON PASTO Y ROCA O SUELO,"917",Matorral disperso con pasto y roca o suelo,20,540982.948,Vegetacion natural,Cobertura vegetal y suelos,5,1,540982.948
424489,921,PASTIZAL CONTINUO,356.114887200999988,4639.030087298889157,75,PASTIZAL CONTINUO,"921",Pastizal continuo,20,4639.030,Vegetacion natural,Cobertura vegetal y suelos,5,1,4639.030
424569,921,PASTIZAL CONTINUO,994.891121118000001,13945.243664572044509,75,PASTIZAL CONTINUO,"921",Pastizal continuo,20,13945.244,Vegetacion natural,Cobertura vegetal y suelos,5,1,13945.244
438744,925,"PASTIZAL CON CLAROS (ROCA, SUELO)",485.091414063999991,8799.031106900423765,76,"PASTIZAL CON CLAROS (ROCA, SUELO)","925","Pastizal con claros (roca, suelo)",20,8799.031,Vegetacion natural,Cobertura vegetal y suelos,5,1,8799.031
30252,315,RIOS Y CAUCES NAT.:BOSQUE GALERIA,802.479143864999969,13143.587328631430864,45,VEGETACION RIPARIA,"315",Rios y cauces naturales: bosque galeria,11,13143.587,Vegetacion riparia,Zonas humedas,3,1,13143.587
30266,315,RIOS Y CAUCES NAT.:BOSQUE GALERIA,2466.829129539999940,47122.841757406175020,45,VEGETACION RIPARIA,"315",Rios y cauces naturales: bosque galeria,11,47122.842,Vegetacion riparia,Zonas humedas,3,1,47122.842
35815,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,43101.935205499990843,49846.820309755508788,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,49846.820,Vegetacion riparia,Zonas humedas,3,1,49846.820
35834,317,RIOS Y CAUCES NAT.:OTRAS FORM. RIPARIAS,1356.844642589999921,28555.881611524149776,46,VEGETACION RIPARIA,"317",Rios y cauces nat: otras formas riparias,11,28555.882,Vegetacion riparia,Zonas humedas,3,1,28555.882
