id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,_COD_NUEVO,USOS_DEFIN,USOS_GENER,COD_GENERA
2062,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,12,Lagos y lagunas,Zonas humedas,3
2075,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,12,Lagos y lagunas,Zonas humedas,3
17,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,20,Vegetacion natural,Cobertura vegetal y suelos,5
2047,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
2054,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
6,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
38,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,20,Vegetacion natural,Cobertura vegetal y suelos,5
51,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,20,Vegetacion natural,Cobertura vegetal y suelos,5
58,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
2055,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
2064,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"5330",Matorrales termomediterraneos y pre-estepicos,Habitat UE,"6220",Habitat Prioritario UE,"-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
2028,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,20,Vegetacion natural,Cobertura vegetal y suelos,5
9,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Humedal,1,,,,,,,,,,20,Vegetacion natural,Cobertura vegetal y suelos,5
2040,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
18,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"2210",Dunas fijas de litoral del Crucianellion maritimae,Habitat UE,"2120",Habitat UE,"2230",Habitat UE,"1210",Habitat UE,22,"Playas, dunas y arenales",Cobertura vegetal y suelos,5
48,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,22,"Playas, dunas y arenales",Cobertura vegetal y suelos,5
2033,Albufera Honda,Reserva Natural,Costeros,IHA611007,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,Cobertura vegetal y suelos,5
