Year,NDVI
1999,0.09834539333636734
2000,0.10263444855809212
2001,0.11035437449614045
2002,0.0904725555480863
2003,0.09220607172152617
2004,0.12041059583425522
2005,0.11242258775493373
2006,0.11610135229364517
2007,0.1141710417966048
2008,0.12527687736549734
2009,0.11819548077403849
2010,0.13194245386496742
2011,0.11231020673241597
2012,0.1188105444670615
2013,0.102320245841644
2014,0.11095375008881092
2015,0.09774293750524521
2016,0.10722837969660759
2017,0.12002320090929668
2018,0.10420330484306033
2019,0.10300913631823204
2020,0.11643196456134319
2021,0.11406233644360154
