Year,NDVI
1999,-0.008193314727395772
2000,-0.010166397085413337
2001,-0.00723413101929639
2002,-0.003351300345877042
2003,-0.0015112628112547099
2004,-0.0101245270925574
2005,-0.009382852430765828
2006,-0.0022613805873940387
2007,-0.008539436241755119
2008,-0.01127770566381514
2009,-0.011168621480464935
2010,-0.00839561756168093
2011,0.004216439659810728
2012,-0.0013841763138771057
2013,-0.0077139138510184625
2014,-0.012320540845394135
2015,-0.00844605676829815
2016,-0.022007282668103773
2017,-0.011450252702666653
2018,-0.013088358033980643
2019,-0.006476453127106652
2020,-0.002470542188911211
2021,-0.005502676451578736
