Year,NDVI
1999,0.11838779551281164
2000,0.12022125958359758
2001,0.12977948766201736
2002,0.11461157262905383
2003,0.11810964611079032
2004,0.14956719175064834
2005,0.15890272774096936
2006,0.16695638018561265
2007,0.18232980963369586
2008,0.1750774185151795
2009,0.16135060521927508
2010,0.19264629158144844
2011,0.176918110146339
2012,0.16112508207011553
2013,0.11033211095378577
2014,0.14405130808896358
2015,0.13396375679197567
2016,0.13970674077200748
2017,0.18288625589603388
2018,0.1629408817815528
2019,0.16877102475819766
2020,0.18309343912050496
2021,0.17678659075205028
