Year,NDVI
1999,0.07865584433599006
2000,0.08678361536127276
2001,0.0651436597108841
2002,0.06813835639022162
2003,0.09536808729171753
2004,0.08701712475384323
2005,0.08078717067837715
2006,0.08941127454477643
2007,0.10601899818233823
2008,0.08885719176133475
2009,0.09587928270803223
2010,0.08440055584503434
2011,0.0716654360294342
2012,0.05558538495721448
2013,0.06713162959772649
2014,0.08794727176427843
2015,0.07787084579467773
2016,0.08124037832021713
2017,0.07114465474276929
2018,0.07150613488394672
2019,0.07069081202087044
2020,0.07509033061678008
2021,0.07717689524940702
