Year,NDVI
1999,0.10503140678358297
2000,0.09929453307322596
2001,0.11193787472115622
2002,0.09210696243846345
2003,0.10978161077946424
2004,0.04718893101172788
2005,0.06887324189818435
2006,0.08908913433551788
2007,0.0727495402097702
2008,0.07766375234301802
2009,0.07672576799666425
2010,0.11238041249469172
2011,0.1050095483660698
2012,0.0925989219376019
2013,0.09913820868632832
2014,0.09526156209050918
2015,0.09917505617652621
2016,0.1020506309675299
2017,0.10400118407878009
2018,0.10590689566997347
2019,0.1010554599074217
2020,0.10389479371764597
2021,0.10198728727041387
