Year,NDVI
1999,0.0866882421397852
2000,0.12818205188582618
2001,-0.017177919008221958
2002,-0.012886056204423369
2003,0.0007893932198441387
2004,-0.018479380506676545
2005,-0.0049084276614261195
2006,0.14763442759246354
2007,0.24144286802412007
2008,0.18053043228723525
2009,0.1847494819019883
2010,0.008675313303283572
2011,0.0283432846242612
2012,0.0926419518945178
2013,0.01025020277983652
2014,0.0008424932369434372
2015,0.03810923596192945
2016,0.09097088032980605
2017,0.13782829027186932
2018,0.1396489861089113
2019,0.17090176547270883
2020,0.2157348544867889
2021,0.19033266639343815
