Year,NDVI
1999,0.08855616473809307
2000,0.08367845762144455
2001,0.09174745373720686
2002,0.07630813121795654
2003,0.08921475561391642
2004,0.10345514118671416
2005,0.09453763703819319
2006,0.10232847432295482
2007,0.09363883581252125
2008,0.10030779242515564
2009,0.0890559337176053
2010,0.11401697314743485
2011,0.09759127331918543
2012,0.08419423618099907
2013,0.09238686412572861
2014,0.0901710238059362
2015,0.09587884974070834
2016,0.09669627249240875
2017,0.09778740309907434
2018,0.09561951371369423
2019,0.09235329547290848
2020,0.09144091036594974
2021,0.09151289098275205
