Year,NDVI
1999,0.04194831300073833
2000,0.02443828739096618
2001,0.012768225461547765
2002,-0.0028413589940302904
2003,-0.018739222839663054
2004,-0.03404624792305964
2005,-0.07122042069228866
2006,-0.04389839240156852
2007,-0.04395131455504731
2008,-0.03230352991093428
2009,-0.03799146744113446
2010,-0.020576182357039043
2011,-0.02638534466444536
2012,-0.03670791240366744
2013,-0.055584882314388566
2014,-0.06362986432003082
2015,-0.04010013056937228
2016,-0.05179893214575899
2017,-0.026875695682373205
2018,-0.055644481252999645
2019,-0.04786401345498032
2020,-0.054041611565827104
2021,-0.05564306346559182
