Year,NDVI
1999,0.04389367600917115
2000,0.03635330076490174
2001,0.028302274457833978
2002,0.020215495356491635
2003,0.008900350027977101
2004,0.012386339602266741
2005,-0.007052205063459082
2006,-0.020663729031528327
2007,-0.02441829488281699
2008,-0.02225276120007038
2009,-0.016951999326295895
2010,-0.022440134498633836
2011,-0.040116054411882006
2012,-0.03979602582911228
2013,-0.0459464945865714
2014,-0.0458030215697927
2015,-0.036240165640222484
2016,-0.04206812633137967
2017,-0.024517598962497413
2018,-0.03802935343184371
2019,-0.028283026603035184
2020,-0.028451645000615134
2021,-0.036181464220268016
