Year,NDVI
1999,0.04544383360595182
2000,0.058842386684128785
2001,0.05622249475515473
2002,0.05936787385134602
2003,0.07946491512385283
2004,0.09951700411257473
2005,0.10468856245279312
2006,0.1507551074028015
2007,0.11213919959675328
2008,0.14621544946119636
2009,0.1157549394476177
2010,0.09319673109971761
2011,0.15202746291955313
2012,0.08748228616529972
2013,0.08384811854078654
2014,0.13193203508853912
2015,0.08200265853261415
2016,0.07977996964516235
2017,0.09221009131073953
2018,0.08885227888822556
2019,0.0903232352751674
2020,0.06394904064106159
2021,0.0643050616194388
