Year,NDVI
1999,0.0783232618579148
2000,0.07959508858662466
2001,0.07790221808856802
2002,0.06777010585220768
2003,0.06949269596137517
2004,0.08537788704253624
2005,0.07803675665115256
2006,0.08552260869292512
2007,0.09820189120677801
2008,0.07454685821422874
2009,0.09420957661853725
2010,0.11580543634586764
2011,0.083667889010063
2012,0.07350324320793153
2013,0.09434826077804678
2014,0.08563017366656109
2015,0.07302211898679552
2016,0.07139253664946725
2017,0.08228573920518195
2018,0.08634934835367318
2019,0.09145796964777275
2020,0.09510331640690939
2021,0.08441100433105375
