Year,NDVI
1999,0.03618878057442742
2000,0.03628740179001584
2001,0.032216576299477204
2002,0.030238306835648696
2003,0.02635519153171856
2004,0.037996319256290434
2005,0.028191556716738158
2006,0.03992601013132218
2007,0.04201546384812162
2008,0.038036010331714526
2009,0.030251866902105393
2010,-0.000895253434064912
2011,0.012665594338170029
2012,0.018680874588666678
2013,0.020450688348432316
2014,0.018605857933527915
2015,0.008856093592387967
2016,0.012677975837042749
2017,0.004917005664159102
2018,0.0009596365136538293
2019,0.01267082329315712
2020,0.016684589159082285
2021,0.010740485876632861
