Year,NDVI
1999,0.10704610524982756
2000,0.11470638934335262
2001,0.10413755934050611
2002,0.09453807559314967
2003,0.10419601890914053
2004,0.11480541920817126
2005,0.0874494577222499
2006,0.09296032468797259
2007,0.12360900457428187
2008,0.08834318247840303
2009,0.11085223960104498
2010,0.14214840742339077
2011,0.10037694961867683
2012,0.09399264225596476
2013,0.12833259926257196
2014,0.11087184453381621
2015,0.09388876892626286
2016,0.08272507351984494
2017,0.10302633615393586
2018,0.09645940325248224
2019,0.11291550962968935
2020,0.11872940146602491
2021,0.09837206246230781
