Year,NDVI
1999,0.06544589098809377
2000,0.07716928950946884
2001,0.07129303612411407
2002,0.06533742182553194
2003,0.07130190460333387
2004,0.10351617132934306
2005,0.10248226939160146
2006,0.08892424311456501
2007,0.0947837534286872
2008,0.11418513304493609
2009,0.09654760387893144
2010,0.10646384274243124
2011,0.10842104533947503
2012,0.1142071666050492
2013,0.08306432385441019
2014,0.09265724841777397
2015,0.09275342865206852
2016,0.0810697548990149
2017,0.10050749481373251
2018,0.08494747236332612
2019,0.09472081253480548
2020,0.08493008186946285
2021,0.09271792723150803
