Year,NDVI
1999,0.020101820701836887
2000,0.02136072004889255
2001,0.018845973646174772
2002,0.019989398324592143
2003,0.02429348204347288
2004,0.020551077850248622
2005,0.022570583677224355
2006,0.022457076840945802
2007,0.02054273812995736
2008,0.024462286996291483
2009,0.020352643888878877
2010,0.020825275292426594
2011,0.030166837506548947
2012,0.024469895260642954
2013,0.03016481732665475
2014,0.03012084253697002
2015,0.030361555076507563
2016,0.030199646479289115
2017,0.028330629967505138
2018,0.03209929187586411
2019,0.028256008094247824
2020,0.030228137303438086
2021,0.030257284729114587
