Year,NDVI
1999,0.05567282490039311
2000,0.06372658870374465
2001,0.06927627985109619
2002,0.0595377079710183
2003,0.09463678065196782
2004,0.06733191390574474
2005,0.07714489911877102
2006,0.07127160970324344
2007,0.06934338092829455
2008,0.08495193733038126
2009,0.08896266745836319
2010,0.08498433264639031
2011,0.08688564875317022
2012,0.07717329752417133
2013,0.07518180455911296
2014,0.09677707125787147
2015,0.09267714720688776
2016,0.08106573233928012
2017,0.08114683675793416
2018,0.0887748617998373
2019,0.07715729530452219
2020,0.07122214288047492
2021,0.057588653270470434
