Year,NDVI
1999,0.05746626560105859
2000,0.05026446533102298
2001,0.049632001527280305
2002,0.032251470020192415
2003,0.08489600981985221
2004,0.05181807889698736
2005,0.06736793918615835
2006,0.06534131557061568
2007,0.06351061860775446
2008,0.05954639816484281
2009,0.07903920763975532
2010,0.059515028191760945
2011,0.08110722592970712
2012,0.05946290694655281
2013,0.06755233243489088
2014,0.07717305047187216
2015,0.05761622066926655
2016,0.06551180415444618
2017,0.06725331863713059
2018,0.061598512285546976
2019,0.06163120507484047
2020,0.05175734789829429
2021,0.05550933102226285
