Year,NDVI
1999,0.042519725959093126
2000,0.04929530716311737
2001,0.04544846514606441
2002,0.03665094530536807
2003,0.06354184924400051
2004,0.0478776626131006
2005,0.04593478232309993
2006,0.045851743585493106
2007,0.04195862968453612
2008,0.05365849601182962
2009,0.06349162578704969
2010,0.05358112551422797
2011,0.06740477107416287
2012,0.04000275258082167
2013,0.05375300006540439
2014,0.06347733750664973
2015,0.0498199080432301
2016,0.0536877221917418
2017,0.04594595395433088
2018,0.04778495289992887
2019,0.04780973801678489
2020,0.040079642061367736
2021,0.04782235010227312
