Year,NDVI
1999,0.04001567538775952
2000,0.04013704312329447
2001,0.04402984097218136
2002,0.045931428879478764
2003,0.04970310818963342
2004,0.055706267623344005
2005,0.052910157690651057
2006,0.051747344336348665
2007,0.04784461668319615
2008,0.061643969234714956
2009,0.049876659611793404
2010,0.06544148567479127
2011,0.07621167308593411
2012,0.05674099605109374
2013,0.05765447806624991
2014,0.05376245278788045
2015,0.057648950994894026
2016,0.049901754753445854
2017,0.06746552455272212
2018,0.05764250740848801
2019,0.05372350689903859
2020,0.057623237981940155
2021,0.055722834054120436
