Year,NDVI
1999,0.036127453146154107
2000,0.0410427726147361
2001,0.04198284775235524
2002,0.03414121971641214
2003,0.06347989794848317
2004,0.04780433222991768
2005,0.05173867768903074
2006,0.05373560034369519
2007,0.041977832453037725
2008,0.04587602156187114
2009,0.05369404832178244
2010,0.04784565069203393
2011,0.05177489543795268
2012,0.04400406000291608
2013,0.04976688980101313
2014,0.05758652849136502
2015,0.04782789296945277
2016,0.047861076442772946
2017,0.04785946274540249
2018,0.049816364730014114
2019,0.04779121263136416
2020,0.04789445021612078
2021,0.043985240656312305
