Year,NDVI
1999,0.04384058034995885
2000,0.044026646622672715
2001,0.04405304110562701
2002,0.026385309109243176
2003,0.07713386069518408
2004,0.0458717815714083
2005,0.05756516500260456
2006,0.055783919592835976
2007,0.05579461343434578
2008,0.05572586408781579
2009,0.07131510757072192
2010,0.04968939369813466
2011,0.07129987636302153
2012,0.051649283853253874
2013,0.05754485677789698
2014,0.06946090304857887
2015,0.05174132731309928
2016,0.05751165450361736
2017,0.057745702614550046
2018,0.04979438826256812
2019,0.05172294508051787
2020,0.045851034820737095
2021,0.04981323181901892
