Year,NDVI
1999,0.056125150794642656
2000,0.05566616244774153
2001,0.05771995412455288
2002,0.04570693702490863
2003,0.05206981128495103
2004,0.063232802127846
2005,0.05548027704850592
2006,0.059665046481930224
2007,0.06363021131039501
2008,0.06552959611068046
2009,0.06918451919616586
2010,0.08095546747042823
2011,0.07509848322755205
2012,0.06946615458636617
2013,0.07723015064596771
2014,0.07513633892980844
2015,0.07695233560562563
2016,0.0813482760322296
2017,0.07521112339264278
2018,0.07515527945443891
2019,0.07932168975690675
2020,0.07708888949859985
2021,0.0711249911867751
