Year,NDVI
1999,0.07712320797968193
2000,0.09271405937873964
2001,0.0752245180993499
2002,0.0771358119528176
2003,0.09276907107425143
2004,0.08890317153380033
2005,0.08106164596857743
2006,0.08108461514837997
2007,0.09956959822473471
2008,0.08789542559546944
2009,0.10837549970751988
2010,0.1142881004413051
2011,0.09272852265564373
2012,0.09667400173081263
2013,0.11031834007617895
2014,0.11038129690450324
2015,0.09276393643504113
2016,0.0791095754568234
2017,0.09853781734700826
2018,0.10253866390033084
2019,0.11424895635631399
2020,0.11032258212355253
2021,0.10645254790243767
