Year,NDVI
1999,0.07132784259755214
2000,0.07726078290027294
2001,0.08496617095822763
2002,0.07521343565502057
2003,0.07709700557941876
2004,0.09475976695005561
2005,0.08688565713697674
2006,0.08099786843695383
2007,0.08883359698440395
2008,0.0967260504849697
2009,0.09090925484205285
2010,0.10053106408862045
2011,0.1043224761576145
2012,0.11048684910335428
2013,0.0824876764588601
2014,0.08880364033500661
2015,0.08691862910043316
2016,0.0791192177028786
2017,0.10051795531985136
2018,0.08101612573242224
2019,0.0946943949654977
2020,0.08302804795852563
2021,0.09080619493371893
