Year,NDVI
1999,0.03856906520458389
2000,0.04344057767732994
2001,0.05138377307217892
2002,0.04930608483483233
2003,0.05920365606507403
2004,0.06168461535682308
2005,0.060062700213431346
2006,0.06098515615048822
2007,0.04833456459712959
2008,0.06344494635424379
2009,0.055655205307529924
2010,0.06353342049824617
2011,0.07328486083933879
2012,0.05120553203201258
2013,0.047427512296512445
2014,0.04928148554042375
2015,0.05761118792718762
2016,0.04049762567244211
2017,0.06154293913807151
2018,0.0620812424691083
2019,0.05034379950399125
2020,0.04839430146451778
2021,0.05032635504902633
