id,NOMBRE_HUM,FIGURA,GRUPO_TIPO,COD_IHA,PROPIEDAD,ZONA,ENP,CODIGO_UE1,NOM_ANEXO1,LEYENDA_1,CODIGO_UE2,LEYENDA_2,CODIGO_UE3,LEYENDA_3,CODIGO_UE4,LEYENDA_4,M_C_E_NAT,M_T_E_NAT,M_C_G_NAT,M_T_G_NAT,MUCVA_C_ES,MUCVA_T_ES,MUCVA_C_GE,MUCVA_T_GE,MUCVA_PRES,SIOSE_C_ES,SIOSE_T_ES,SIOSE_C_GE,SIOSE_T_GE,SIOSE_PRES,SIOSE_C_RI,SIOSE_T_RI,hic_p_tn,hic_np_tn,HIC_1,HIC_2,hic_num_t,HIC_3,HIC_4,HIC_5,HIC_6
930,Ribera de la Algaida,,Costeros,IHA611010,Privada,Humedal,0,"5220",Matorrales arborescentes de Zyziphus,Habitat Prioritario UE,"2230",Habitat UE,"1430",Habitat UE,"2260",Habitat UE,,,,,18,Cultivos herbaceos,4,Agrario,3,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",0,1,22600_25,,1,,,,
50,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,"1430",Matorrales halo-nitrofilos (Pegano-Salsoletea),Habitat UE,"-1","-","-1","-","-1","-",,,,,17,Invernaderos,2,Agrario invernaderos,5,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,0,1,1430_65,,1,,,,
74,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
84,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
91,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
118,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
122,Barranco del Agua,,Interiores,IHA614023,"Publica, Privada",Buffer,0,"1520",Vegetacion gipsicola iberica (Gypsophiletalia),Habitat Prioritario UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,20,Vegetacion natur,2,0,62201_72,1520_38,2,,,,
48,Albufera Nueva,Reserva Natural,Costeros,IHA611008,Publica,Buffer,1,,,,,,,,,,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y arenales",5,Cobertura vegetal y suelos,1,22,"Playas, dunas y",0,1,1210_60,,1,,,,
1463,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,0,1,14200_50,,1,,,,
522,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
550,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
591,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
467,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
474,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
485,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
487,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
489,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
501,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
502,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
503,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
506,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
508,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
509,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
511,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
515,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
521,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
534,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
568,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
572,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
578,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
584,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
585,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
587,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
590,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
595,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
601,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
602,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
609,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
613,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
619,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
621,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
642,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
646,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Humedal,1,,,,,,,,,,12,Lagos y lagunas,3,Zonas humedas,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
570,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,"1420",Matorrales halofilos mediterraneos y termoatlanticos (Sarcocornetea fructicosae),Habitat UE,"-1","-","-1","-","-1","-",20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
631,Charcones de Punta Entinas,Reserva Natural,Costeros,IHA611001,Privada,Buffer,1,,,,,,,,,,20,Vegetacion natural,5,Cobertura vegetal y suelos,20,Vegetacion natural,5,Cobertura vegetal y suelos,1,12,Lagos y lagunas,3,Zonas humedas,1,12,Lagos y lagunas,1,0,1150_100,,1,,,,
1629,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1631,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1817,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,7,Marisma,3,Zonas humedas,7,Marisma,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
741,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
747,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
748,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
749,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
750,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
758,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
766,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
769,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
775,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Buffer,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,7,Marisma,3,Zonas humedas,1,7,Marisma,1,0,1150_100,,1,,,,
778,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
784,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1439,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1448,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1505,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1534,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1575,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1875,Laguna de la Gravera,Paraje Natural,Costeros,IHA611002,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1429,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1432,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1446,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1449,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1455,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1462,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1464,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1469,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1492,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1494,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1502,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1503,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1514,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1515,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1516,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1518,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1524,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1531,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1537,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1540,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1550,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1552,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1558,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1569,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
1576,Salinas de Cerrillos,Paraje Natural,Costeros,IHA611004,Privada,Humedal,1,,,,,,,,,,8,Salinas,3,Zonas humedas,8,Salinas,3,Zonas humedas,1,8,Salinas,3,Zonas humedas,1,8,Salinas,1,0,1150_100,,1,,,,
